Título,Ano,Duração,Gênero,Nota IMDb
Homem-Aranha: Através do Aranhaverso,(2023),140 min,"Animation, Action, Adventure",9.1
Batman: O Cavaleiro das Trevas,(2008),152 min,"Action, Crime, Drama",9.0
O Senhor dos Anéis: O Retorno do Rei,(2003),201 min,"Action, Adventure, Drama",9.0
A Origem,(2010),148 min,"Action, Adventure, Sci-Fi",8.8
O Senhor dos Anéis: A Sociedade do Anel,(2001),178 min,"Action, Adventure, Drama",8.8
O Senhor dos Anéis: As Duas Torres,(2002),179 min,"Action, Adventure, Drama",8.8
Matrix,(1999),136 min,"Action, Sci-Fi",8.7
Star Wars: Episódio V - O Império Contra-Ataca,(1980),124 min,"Action, Adventure, Fantasy",8.7
Soorarai Pottru,(2020),153 min,"Action, Drama",8.7
Star Wars: Episódio IV - Uma Nova Esperança,(1977),121 min,"Action, Adventure, Fantasy",8.6
O Exterminador do Futuro 2: O Julgamento Final,(1991),137 min,"Action, Sci-Fi",8.6
Os Sete Samurais,(1954),207 min,"Action, Drama",8.6
Harakiri,(1962),133 min,"Action, Drama, Mystery",8.6
Sita Ramam,(2022),163 min,"Action, Drama, Mystery",8.6
O Profissional,(1994),110 min,"Action, Crime, Drama",8.5
Gladiador,(2000),155 min,"Action, Adventure, Drama",8.5
Homem-Aranha: No Aranhaverso,(2018),117 min,"Animation, Action, Adventure",8.4
Os Caçadores da Arca Perdida,(1981),115 min,"Action, Adventure",8.4
Vingadores: Ultimato,(2019),181 min,"Action, Adventure, Drama",8.4
Vingadores: Guerra Infinita,(2018),149 min,"Action, Adventure, Sci-Fi",8.4
Oldboy,(2003),120 min,"Action, Drama, Mystery",8.4
Batman: O Cavaleiro das Trevas Ressurge,(2012),164 min,"Action, Drama, Thriller",8.4
"Aliens, O Resgate",(1986),137 min,"Action, Adventure, Sci-Fi",8.4
Kaithi,(2019),145 min,"Action, Adventure, Crime",8.4
Asuran,(2019),141 min,"Action, Drama",8.4
Top Gun: Maverick,(2022),130 min,"Action, Drama",8.3
Fogo Contra Fogo,(1995),170 min,"Action, Crime, Drama",8.3
Intriga Internacional,(1959),136 min,"Action, Adventure, Mystery",8.3
"Star Wars, Episódio VI: O Retorno do Jedi",(1983),131 min,"Action, Adventure, Fantasy",8.3
Princesa Mononoke,(1997),134 min,"Animation, Action, Adventure",8.3
Kantara,(2022),148 min,"Action, Adventure, Drama",8.3
Dangal,(2016),161 min,"Action, Biography, Drama",8.3
Ratsasan,(2018),170 min,"Action, Crime, Drama",8.3
K.G.F: Chapter 2,(2022),168 min,"Action, Crime, Drama",8.3
Vikram,(2022),175 min,"Action, Crime, Thriller",8.3
Shershaah,(2021),135 min,"Action, Biography, Drama",8.3
Guardiões da Galáxia Vol. 3,(2023),150 min,"Action, Adventure, Comedy",8.2
Homem-Aranha: Sem Volta para Casa,(2021),148 min,"Action, Adventure, Fantasy",8.2
Jurassic Park,(1993),127 min,"Action, Adventure, Sci-Fi",8.2
Indiana Jones e a Última Cruzada,(1989),127 min,"Action, Adventure",8.2
1917,(2019),119 min,"Action, Drama, War",8.2
Batman Begins,(2005),140 min,"Action, Crime, Drama",8.2
Kill Bill: Volume 1,(2003),111 min,"Action, Crime, Drama",8.2
Duro de Matar,(1988),132 min,"Action, Thriller",8.2
V de Vingança,(2005),132 min,"Action, Drama, Sci-Fi",8.2
Demon Slayer: Mugen Train - O Filme,(2020),117 min,"Animation, Action, Adventure",8.2
Ran,(1985),162 min,"Action, Drama, War",8.2
Gangues de Wasseypur,(2012),321 min,"Action, Comedy, Crime",8.2
Vikram Vedha,(2017),147 min,"Action, Crime, Drama",8.2
"Yojimbo, o Guarda-Costas",(1961),110 min,"Action, Drama, Thriller",8.2
Homem-Aranha: Através do Aranhaverso,(2023),140 min,"Animation, Action, Adventure",9.1
O Senhor dos Anéis: O Retorno do Rei,(2003),201 min,"Action, Adventure, Drama",9.0
A Origem,(2010),148 min,"Action, Adventure, Sci-Fi",8.8
O Senhor dos Anéis: A Sociedade do Anel,(2001),178 min,"Action, Adventure, Drama",8.8
Três Homens em Conflito,(1966),161 min,"Adventure, Western",8.8
O Senhor dos Anéis: As Duas Torres,(2002),179 min,"Action, Adventure, Drama",8.8
777 Charlie,(2022),164 min,"Adventure, Comedy, Drama",8.8
Interestelar,(2014),169 min,"Adventure, Drama, Sci-Fi",8.7
Star Wars: Episódio V - O Império Contra-Ataca,(1980),124 min,"Action, Adventure, Fantasy",8.7
Star Wars: Episódio IV - Uma Nova Esperança,(1977),121 min,"Action, Adventure, Fantasy",8.6
A Viagem de Chihiro,(2001),125 min,"Animation, Adventure, Family",8.6
De Volta para o Futuro,(1985),116 min,"Adventure, Comedy, Sci-Fi",8.5
Gladiador,(2000),155 min,"Action, Adventure, Drama",8.5
O Rei Leão,(1994),88 min,"Animation, Adventure, Drama",8.5
Homem-Aranha: No Aranhaverso,(2018),117 min,"Animation, Action, Adventure",8.4
Os Caçadores da Arca Perdida,(1981),115 min,"Action, Adventure",8.4
Vingadores: Ultimato,(2019),181 min,"Action, Adventure, Drama",8.4
Vingadores: Guerra Infinita,(2018),149 min,"Action, Adventure, Sci-Fi",8.4
"Aliens, O Resgate",(1986),137 min,"Action, Adventure, Sci-Fi",8.4
Viva: A Vida é uma Festa,(I) (2017),105 min,"Animation, Adventure, Comedy",8.4
WALL·E,(2008),98 min,"Animation, Adventure, Family",8.4
Kaithi,(2019),145 min,"Action, Adventure, Crime",8.4
Bastardos Inglórios,(2009),153 min,"Adventure, Drama, War",8.3
Intriga Internacional,(1959),136 min,"Action, Adventure, Mystery",8.3
2001: Uma Odisséia no Espaço,(1968),149 min,"Adventure, Sci-Fi",8.3
"Star Wars, Episódio VI: O Retorno do Jedi",(1983),131 min,"Action, Adventure, Fantasy",8.3
Toy Story,(1995),81 min,"Animation, Adventure, Comedy",8.3
Up: Altas Aventuras,(2009),96 min,"Animation, Adventure, Comedy",8.3
Toy Story 3,(2010),103 min,"Animation, Adventure, Comedy",8.3
Lawrence da Arábia,(1962),218 min,"Adventure, Biography, Drama",8.3
Princesa Mononoke,(1997),134 min,"Animation, Action, Adventure",8.3
Kantara,(2022),148 min,"Action, Adventure, Drama",8.3
Guardiões da Galáxia Vol. 3,(2023),150 min,"Action, Adventure, Comedy",8.2
Homem-Aranha: Sem Volta para Casa,(2021),148 min,"Action, Adventure, Fantasy",8.2
Jurassic Park,(1993),127 min,"Action, Adventure, Sci-Fi",8.2
Indiana Jones e a Última Cruzada,(1989),127 min,"Action, Adventure",8.2
Procurando Nemo,(2003),100 min,"Animation, Adventure, Comedy",8.2
O Castelo Animado,(2004),119 min,"Animation, Adventure, Family",8.2
Fugindo do Inferno,(1963),172 min,"Adventure, Drama, History",8.2
Monty Python em Busca do Cálice Sagrado,(1975),91 min,"Adventure, Comedy, Fantasy",8.2
Demon Slayer: Mugen Train - O Filme,(2020),117 min,"Animation, Action, Adventure",8.2
Klaus,(2019),96 min,"Animation, Adventure, Comedy",8.2
O Tesouro da Sierra Madre,(1948),126 min,"Adventure, Drama, Western",8.2
Dersu Uzala,(1975),142 min,"Adventure, Biography, Drama",8.2
O Salário do Medo,(1953),131 min,"Adventure, Drama, Thriller",8.2
Mad Max: Estrada da Fúria,(2015),120 min,"Action, Adventure, Sci-Fi",8.1
O Grande Hotel Budapeste,(2014),99 min,"Adventure, Comedy, Crime",8.1
Tubarão,(1975),124 min,"Adventure, Mystery, Thriller",8.1
Piratas do Caribe: A Maldição do Pérola Negra,(2003),143 min,"Action, Adventure, Fantasy",8.1
Harry Potter e as Relíquias da Morte - Parte 2,(2011),130 min,"Adventure, Family, Fantasy",8.1
Homem-Aranha: Através do Aranhaverso,(2023),140 min,"Animation, Action, Adventure",9.1
A Viagem de Chihiro,(2001),125 min,"Animation, Adventure, Family",8.6
O Rei Leão,(1994),88 min,"Animation, Adventure, Drama",8.5
Túmulo dos Vagalumes,(1988),89 min,"Animation, Drama, War",8.5
Homem-Aranha: No Aranhaverso,(2018),117 min,"Animation, Action, Adventure",8.4
Your Name.,(2016),106 min,"Animation, Drama, Fantasy",8.4
Viva: A Vida é uma Festa,(I) (2017),105 min,"Animation, Adventure, Comedy",8.4
WALL·E,(2008),98 min,"Animation, Adventure, Family",8.4
Toy Story,(1995),81 min,"Animation, Adventure, Comedy",8.3
Up: Altas Aventuras,(2009),96 min,"Animation, Adventure, Comedy",8.3
Toy Story 3,(2010),103 min,"Animation, Adventure, Comedy",8.3
Princesa Mononoke,(1997),134 min,"Animation, Action, Adventure",8.3
Procurando Nemo,(2003),100 min,"Animation, Adventure, Comedy",8.2
O Castelo Animado,(2004),119 min,"Animation, Adventure, Family",8.2
Demon Slayer: Mugen Train - O Filme,(2020),117 min,"Animation, Action, Adventure",8.2
Klaus,(2019),96 min,"Animation, Adventure, Comedy",8.2
Ratatouille,(2007),111 min,"Animation, Adventure, Comedy",8.1
Divertida Mente,(I) (2015),95 min,"Animation, Adventure, Comedy",8.1
Como Treinar o Seu Dragão,(2010),98 min,"Animation, Action, Adventure",8.1
Monstros S.A.,(2001),92 min,"Animation, Adventure, Comedy",8.1
Meu Amigo Totoro,(1988),86 min,"Animation, Comedy, Family",8.1
O Gigante de Ferro,(1999),86 min,"Animation, Action, Adventure",8.1
A Voz do Silêncio,(2016),130 min,"Animation, Drama",8.1
Mary e Max: Uma Amizade Diferente,(2009),92 min,"Animation, Comedy, Drama",8.1
Neon Genesis Evangelion: O Fim do Evangelho,(1997),87 min,"Animation, Action, Drama",8.1
Crianças Lobo,(2012),117 min,"Animation, Drama, Family",8.1
Zootopia,(2016),108 min,"Animation, Adventure, Comedy",8.0
Os Incríveis,(2004),115 min,"Animation, Action, Adventure",8.0
Aladdin,(1992),90 min,"Animation, Adventure, Comedy",8.0
A Bela e a Fera,(1991),84 min,"Animation, Family, Fantasy",8.0
Akira,(1988),124 min,"Animation, Action, Drama",8.0
Soul,(2020),100 min,"Animation, Adventure, Comedy",8.0
Perfect Blue,(1997),81 min,"Animation, Crime, Drama",8.0
O Castelo no Céu,(1986),125 min,"Animation, Adventure, Family",8.0
Nausicaä do Vale do Vento,(1984),117 min,"Animation, Adventure, Sci-Fi",8.0
Wolfwalkers,(2020),103 min,"Animation, Action, Adventure",8.0
O Conto da Princesa Kaguya,(2013),137 min,"Animation, Drama, Family",8.0
A Canção do Mar,(2014),93 min,"Animation, Adventure, Drama",8.0
Persépolis,(2007),96 min,"Animation, Biography, Drama",8.0
Gato de Botas 2: O Último Pedido,(2022),102 min,"Animation, Adventure, Comedy",7.9
O Fantástico Sr. Raposo,(2009),87 min,"Animation, Adventure, Comedy",7.9
Shrek,(2001),90 min,"Animation, Adventure, Comedy",7.9
Toy Story 2,(1999),92 min,"Animation, Adventure, Comedy",7.9
O Fantasma do Futuro,(1995),83 min,"Animation, Action, Crime",7.9
O Estranho Mundo de Jack,(1993),76 min,"Animation, Family, Fantasy",7.9
Operação Big Hero,(2014),102 min,"Animation, Action, Adventure",7.8
Ilha dos Cachorros,(2018),101 min,"Animation, Adventure, Comedy",7.8
O Serviço de Entregas da Kiki,(1989),103 min,"Animation, Family, Fantasy",7.8
Como Treinar o Seu Dragão 2,(2014),102 min,"Animation, Action, Adventure",7.8
Sussurros do Coração,(1995),111 min,"Animation, Drama, Family",7.8
Hababam Sinifi,(1975),87 min,"Comedy, Drama",9.2
Homem-Aranha: Através do Aranhaverso,(2023),140 min,"Animation, Action, Adventure",9.1
777 Charlie,(2022),164 min,"Adventure, Comedy, Drama",8.8
A Vida é Bela,(1997),116 min,"Comedy, Drama, Romance",8.6
De Volta para o Futuro,(1985),116 min,"Adventure, Comedy, Sci-Fi",8.5
Intocáveis,(2011),112 min,"Biography, Comedy, Drama",8.5
Tempos Modernos,(1936),87 min,"Comedy, Drama, Romance",8.5
Luzes da Cidade,(1931),87 min,"Comedy, Drama, Romance",8.5
Homem-Aranha: No Aranhaverso,(2018),117 min,"Animation, Action, Adventure",8.4
Viva: A Vida é uma Festa,(I) (2017),105 min,"Animation, Adventure, Comedy",8.4
Dr. Fantástico,(1964),95 min,"Comedy, War",8.4
3 Idiotas,(2009),170 min,"Comedy, Drama",8.4
O Grande Ditador,(1940),125 min,"Comedy, Drama, War",8.4
Coração Indefeso,(2020),101 min,"Comedy, Drama, Romance",8.4
Toy Story,(1995),81 min,"Animation, Adventure, Comedy",8.3
Up: Altas Aventuras,(2009),96 min,"Animation, Adventure, Comedy",8.3
Toy Story 3,(2010),103 min,"Animation, Adventure, Comedy",8.3
O Fabuloso Destino de Amélie Poulain,(2001),122 min,"Comedy, Romance",8.3
Golpe de Mestre,(1973),129 min,"Comedy, Crime, Drama",8.3
Cantando na Chuva,(1952),103 min,"Comedy, Musical, Romance",8.3
Se Meu Apartamento Falasse,(1960),125 min,"Comedy, Drama, Romance",8.3
O Garoto,(1921),68 min,"Comedy, Drama, Family",8.3
Chhichhore,(2019),143 min,"Comedy, Drama, Romance",8.3
Guardiões da Galáxia Vol. 3,(2023),150 min,"Action, Adventure, Comedy",8.2
O Lobo de Wall Street,(2013),180 min,"Biography, Comedy, Crime",8.2
O Show de Truman: O Show da Vida,(1998),103 min,"Comedy, Drama",8.2
Snatch: Porcos e Diamantes,(2000),104 min,"Comedy, Crime",8.2
Procurando Nemo,(2003),100 min,"Animation, Adventure, Comedy",8.2
Green Book: O Guia,(2018),130 min,"Biography, Comedy, Drama",8.2
Monty Python em Busca do Cálice Sagrado,(1975),91 min,"Adventure, Comedy, Fantasy",8.2
Quanto Mais Quente Melhor,(1959),121 min,"Comedy, Music, Romance",8.2
Klaus,(2019),96 min,"Animation, Adventure, Comedy",8.2
Gangues de Wasseypur,(2012),321 min,"Action, Comedy, Crime",8.2
Três Amigos na Estrada,(2011),155 min,"Comedy, Drama, Musical",8.2
Ser ou Não Ser,(1942),99 min,"Comedy, Romance, War",8.2
Bancando o Águia,(1924),45 min,"Action, Comedy, Romance",8.2
O Grande Hotel Budapeste,(2014),99 min,"Adventure, Comedy, Crime",8.1
O Grande Lebowski,(1998),117 min,"Comedy, Crime",8.1
Sociedade dos Poetas Mortos,(1989),128 min,"Comedy, Drama",8.1
Ratatouille,(2007),111 min,"Animation, Adventure, Comedy",8.1
Três Anúncios para um Crime,(2017),115 min,"Comedy, Crime, Drama",8.1
Divertida Mente,(I) (2015),95 min,"Animation, Adventure, Comedy",8.1
Como Treinar o Seu Dragão,(2010),98 min,"Animation, Action, Adventure",8.1
Monstros S.A.,(2001),92 min,"Animation, Adventure, Comedy",8.1
"Jogos, Trapaças e Dois Canos Fumegantes",(1998),107 min,"Action, Comedy, Crime",8.1
Meu Amigo Totoro,(1988),86 min,"Animation, Comedy, Family",8.1
Relatos Selvagens,(2014),122 min,"Comedy, Drama, Thriller",8.1
O Gigante de Ferro,(1999),86 min,"Animation, Action, Adventure",8.1
Lua de Papel,(1973),102 min,"Comedy, Crime, Drama",8.1
Mary e Max: Uma Amizade Diferente,(2009),92 min,"Animation, Comedy, Drama",8.1
Um Sonho de Liberdade,(1994),142 min,Drama,9.3
O Poderoso Chefão,(1972),175 min,"Crime, Drama",9.2
Hababam Sinifi,(1975),87 min,"Comedy, Drama",9.2
Batman: O Cavaleiro das Trevas,(2008),152 min,"Action, Crime, Drama",9.0
A Lista de Schindler,(1993),195 min,"Biography, Drama, History",9.0
O Poderoso Chefão II,(1974),202 min,"Crime, Drama",9.0
O Senhor dos Anéis: O Retorno do Rei,(2003),201 min,"Action, Adventure, Drama",9.0
12 Homens e uma Sentença,(1957),96 min,"Crime, Drama",9.0
Pulp Fiction: Tempo de Violência,(1994),154 min,"Crime, Drama",8.9
O Senhor dos Anéis: A Sociedade do Anel,(2001),178 min,"Action, Adventure, Drama",8.8
Clube da Luta,(1999),139 min,Drama,8.8
Forrest Gump: O Contador de Histórias,(1994),142 min,"Drama, Romance",8.8
O Senhor dos Anéis: As Duas Torres,(2002),179 min,"Action, Adventure, Drama",8.8
Jai Bhim,(2021),164 min,"Crime, Drama, Mystery",8.8
Rocketry: The Nambi Effect,(2022),157 min,"Biography, Drama",8.8
777 Charlie,(2022),164 min,"Adventure, Comedy, Drama",8.8
Interestelar,(2014),169 min,"Adventure, Drama, Sci-Fi",8.7
Os Bons Companheiros,(1990),145 min,"Biography, Crime, Drama",8.7
Um Estranho no Ninho,(1975),133 min,Drama,8.7
The Kashmir Files,(2022),170 min,Drama,8.7
Soorarai Pottru,(2020),153 min,"Action, Drama",8.7
À Espera de um Milagre,(1999),189 min,"Crime, Drama, Fantasy",8.6
O Resgate do Soldado Ryan,(1998),169 min,"Drama, War",8.6
Seven: Os Sete Crimes Capitais,(1995),127 min,"Crime, Drama, Mystery",8.6
O Silêncio dos Inocentes,(1991),118 min,"Crime, Drama, Thriller",8.6
Cidade de Deus,(2002),130 min,"Crime, Drama",8.6
A Vida é Bela,(1997),116 min,"Comedy, Drama, Romance",8.6
Os Sete Samurais,(1954),207 min,"Action, Drama",8.6
A Felicidade Não se Compra,(1946),130 min,"Drama, Family, Fantasy",8.6
Harakiri,(1962),133 min,"Action, Drama, Mystery",8.6
Sita Ramam,(2022),163 min,"Action, Drama, Mystery",8.6
Parasita,(2019),132 min,"Drama, Thriller",8.5
Os Infiltrados,(2006),151 min,"Crime, Drama, Thriller",8.5
Whiplash: Em Busca da Perfeição,(2014),106 min,"Drama, Music",8.5
O Profissional,(1994),110 min,"Action, Crime, Drama",8.5
Gladiador,(2000),155 min,"Action, Adventure, Drama",8.5
O Grande Truque,(2006),130 min,"Drama, Mystery, Sci-Fi",8.5
Casablanca,(1942),102 min,"Drama, Romance, War",8.5
O Rei Leão,(1994),88 min,"Animation, Adventure, Drama",8.5
A Outra História Americana,(1998),119 min,"Crime, Drama",8.5
O Pianista,(2002),150 min,"Biography, Drama, Music",8.5
Os Suspeitos,(1995),106 min,"Crime, Drama, Mystery",8.5
Intocáveis,(2011),112 min,"Biography, Comedy, Drama",8.5
